purchase_date,cust_id,comic_id
2023-12-07 05:50:45,1,31781
2021-10-31 01:30:04,1,26276
2021-04-19 15:10:15,1,18529
2020-09-28 09:14:16,1,3849
2020-07-11 21:52:21,1,9479
2020-02-04 02:38:53,1,13025
2019-11-14 20:30:09,1,25177
2017-11-22 02:30:00,1,22613
2016-08-04 03:03:27,1,28246
2016-03-24 23:20:52,1,21703
2014-07-17 08:20:46,1,12667
2012-08-18 14:00:32,1,12641
2012-07-04 14:49:57,1,25710
2012-05-10 16:25:47,1,30815
2011-11-18 18:05:50,1,3001
2011-01-23 14:33:05,1,2714
2010-10-12 17:32:14,1,25638
2010-03-30 00:18:02,1,13591
2008-06-25 09:07:04,1,1235
2008-04-14 23:21:38,1,2226
2008-03-06 06:01:45,1,17230
2007-06-16 18:35:13,1,9149
2007-05-21 15:03:08,1,1994
2005-12-03 04:36:36,1,11404
2005-09-25 08:02:01,1,30587
2005-09-25 04:30:56,1,30578
2005-09-25 04:30:56,1,30559
2005-09-25 04:30:56,1,30561
2005-09-25 04:30:56,1,30562
2005-09-25 04:30:56,1,30563
2005-09-25 04:30:56,1,30564
2005-09-25 04:30:56,1,30565
2005-09-25 04:30:56,1,30576
2005-09-25 04:30:56,1,30577
2005-09-25 04:30:56,1,22610
2005-09-25 04:30:56,1,22611
2005-09-25 04:30:56,1,22612
2005-09-25 04:30:56,1,22614
2005-09-25 04:30:56,1,22615
2005-09-25 04:30:56,1,22616
2005-09-25 04:30:56,1,22617
2005-09-25 04:30:56,1,25210
2005-09-25 04:30:56,1,30560
2005-08-18 18:25:23,1,24966
2005-03-17 10:42:19,1,30579
2005-01-20 09:00:53,1,30580
2004-10-30 12:12:12,1,30581
2004-10-12 09:35:06,1,30585
2004-10-07 20:46:06,1,19996
2004-09-20 11:32:51,1,30586
2004-07-25 04:43:50,1,30972
2004-07-25 04:43:50,1,30588
2004-07-25 04:43:50,1,30593
2004-07-25 04:43:50,1,30643
2004-06-15 06:12:00,1,30709
2003-11-23 12:22:25,1,4873
2003-08-28 20:20:44,1,15785
2003-04-19 08:01:02,1,30477
2000-05-28 12:08:58,1,27962
